Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
     758   5155.14   4341.38     42.97
     759   5160.30   4350.92     43.64
     760   5165.47   4360.45     50.71
     761   5170.63   4369.99     65.77
     762   5596.23   4458.47     36.54
     763   5588.69   4442.46     35.54
     764   5584.74   4427.93     35.49
     765   5580.78   4413.41     35.50
     766   5576.82   4398.89     35.61
     767   5570.34   4382.98     35.85
     768   5563.86   4367.06     35.95
     769   5557.39   4351.14     36.06
     770   5545.87   4331.18     36.77
     771   5534.35   4311.22     37.18
     772   5522.84   4291.25     37.16
     773   5512.70   4270.63     36.70
     774   5502.56   4250.00     36.68
     775   5492.42   4229.37     36.80
     776   5480.41   4218.96     36.99
     777   5468.40   4208.56     37.15
     778   5456.40   4198.15     37.13
     779   5438.66   4195.42     37.44
     780   5420.93   4192.68     38.06
     781   5403.19   4189.95     38.87
     782   5381.92   4187.74     39.02
     783   5360.65   4185.53     41.75
     784   5339.38   4183.33     44.92
     785   5320.04   4178.03     44.44
     786   5300.69   4172.73     49.71
     787   5281.34   4167.43     51.14
     788   5266.32   4155.34     52.05
     789   5251.31   4143.24     52.05
     790   5236.29   4131.15     51.39
     791   5225.29   4118.34     49.82
     792   5214.28   4105.53     39.50
     793   5203.28   4092.73     38.83
     794   5187.53   4086.11     39.02
     795   5171.78   4079.50     39.18
     796   5603.53   4446.54     35.27
     797   5596.55   4431.47     35.34
     798   5591.92   4417.66     35.40
     799   5587.55   4403.74     35.49
     800   5583.15   4389.84     35.59
     801   5576.21   4372.50     35.68
     802   5568.97   4355.26     35.77
     803   5561.64   4338.06     35.98
     804   5550.59   4318.31     36.04
     805   5539.51   4298.57     36.37
     806   5528.43   4278.83     36.33
     807   5518.27   4258.67     36.46
     808   5507.60   4239.20     36.61
     809   5496.92   4219.73     36.75
     810   5485.00   4208.09     36.90
     811   5471.71   4198.93     37.01
     812   5458.42   4189.76     37.03
